ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): Maine

School Name,State Name [Public School] Latest available year,Lowest Grade Offered [Public School] 2008-09,Highest Grade Offered [Public School] 2008-09,Total Students [Public School] 2008-09,Total Free and Reduced Lunch Students [Public School] 2008-09,Female Students [Public School] 2008-09,Male Students [Public School] 2008-09,State Name [Public School] 2008-09,Pupil/Teacher Ratio [Public School] 2008-09
GARLAND ELEMENTARY SCHOOL,Maine,Kindergarten,2nd Grade,78,49,36,42,MAINE,10.00
GARRET SCHENCK SCHOOL,Maine,Prekindergarten,8th Grade,98,74,53,45,MAINE,12.90
GENERAL BRYANT E MOORE SCHOOL,Maine,3rd Grade,5th Grade,217,89,101,116,MAINE,18.90
GEORGE B WEATHERBEE SCHOOL,Maine,3rd Grade,5th Grade,292,50,136,156,MAINE,14.00
GEORGE E JACK SCHOOL,Maine,4th Grade,5th Grade,237,85,110,127,MAINE,14.00
GEORGE J MITCHELL SCHOOL,Maine,Prekindergarten,3rd Grade,586,388,280,306,MAINE,14.00
GEORGES VALLEY HIGH SCHOOL,Maine,9th Grade,12th Grade,283,76,131,152,MAINE,11.30
GEORGETOWN CENTRAL SCHOOL,Maine,Kindergarten,6th Grade,62,16,26,36,MAINE,7.40
GERALD D CUSHING SCHOOL,Maine,Kindergarten,2nd Grade,148,82,79,69,MAINE,11.70
GILFORD BUTLER SCHOOL,Maine,Kindergarten,2nd Grade,80,16,41,39,MAINE,14.00
GLADYS WEYMOUTH ELEM SCHOOL,Maine,Kindergarten,2nd Grade,89,47,37,52,MAINE,12.70
GLENBURN ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,414,116,187,227,MAINE,10.20
GORHAM HIGH SCHOOL,Maine,9th Grade,12th Grade,859,181,422,437,MAINE,13.40
GORHAM MIDDLE SCHOOL,Maine,6th Grade,8th Grade,655,134,329,326,MAINE,13.10
GOVERNOR BAXTER SCHOOL FOR THE DEAF,Maine,Prekindergarten,8th Grade,13,7,6,7,MAINE,="0.50"
GOVERNOR JAMES B LONGLEY ELEM SCH,Maine,Prekindergarten,6th Grade,296,278,137,159,MAINE,11.40
GOVERNOR JOHN FAIRFIELD SCHOOL,Maine,Kindergarten,2nd Grade,285,117,148,137,MAINE,12.20
GRANITE STREET SCHOOL,Maine,Kindergarten,5th Grade,213,119,98,115,MAINE,11.50
GRAY-NEW GLOUCESTER HIGH SCHOOL,Maine,9th Grade,12th Grade,595,117,274,321,MAINE,11.10
GRAY-NEW GLOUCESTER MIDDLE SCHOOL,Maine,6th Grade,8th Grade,410,91,198,212,MAINE,11.00
GREAT SALT BAY COMMUNITY SCHOOL,Maine,Kindergarten,8th Grade,383,122,188,195,MAINE,11.60
GREELY HIGH SCHOOL,Maine,9th Grade,12th Grade,688,35,346,342,MAINE,12.10
GREELY MIDDLE SCHOOL,Maine,6th Grade,8th Grade,552,40,278,274,MAINE,11.20
GREENE CENTRAL SCHOOL,Maine,Kindergarten,6th Grade,371,116,162,209,MAINE,12.70
GREENVILLE MIDDLE/HIGH SCHOOL,Maine,6th Grade,12th Grade,149,76,68,81,MAINE,11.20
